                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.3367,                0.72338,                 1.0721,                 1.5637,                0.78728,                 1.0374,                0.88254,                0.89118,                0.94311,                0.56005,                 1.3607,                0.65225,                 1.0188,                 1.4337,                 0.5721,                0.98304,             0.00086311,             0.00086311,             0.00086311
                     68,                  1.327,                0.71801,                 1.0639,                 1.5605,                0.77505,                 1.0268,                0.88854,                0.89888,                0.94642,                 0.5737,                 1.2993,                0.63759,                 1.0142,                 1.3956,                0.57859,                0.98218,             0.00084844,             0.00084844,             0.00084844
                     69,                 1.3141,                0.71553,                 1.0588,                 1.5565,                0.78124,                  1.025,                 0.8861,                0.88652,                0.94027,                0.56157,                 1.3345,                0.66311,                 1.0203,                 1.4129,                0.60652,                0.98434,             0.00083372,             0.00083372,             0.00083372
                     70,                 1.3246,                0.71845,                 1.0623,                 1.5721,                 0.7973,                 1.0272,                0.88452,                0.90233,                0.94671,                 0.5794,                 1.2821,                0.65672,                 1.0107,                 1.3775,                0.57884,                0.97858,             0.00081894,             0.00081894,             0.00081894
                     71,                 1.3128,                0.71429,                 1.0634,                 1.5436,                0.77086,                 1.0291,                0.87869,                0.89079,                0.94351,                0.55551,                  1.366,                0.66284,                 1.0206,                 1.4394,                0.61867,                0.98682,             0.00080411,             0.00080411,             0.00080411
                     72,                 1.3226,                0.72753,                 1.0728,                 1.5678,                0.80884,                  1.034,                0.89439,                0.87339,                0.94488,                0.57489,                 1.2983,                0.65934,                 1.0096,                 1.3904,                0.59018,                0.97825,             0.00078925,             0.00078925,             0.00078925
                     73,                 1.3207,                0.72318,                 1.0606,                  1.574,                0.80394,                 1.0202,                0.88957,                0.87668,                0.94364,                0.58095,                 1.2669,                0.64694,                 1.0035,                 1.3763,                0.57787,                0.97411,             0.00077435,             0.00077435,             0.00077435
                     74,                 1.3069,                0.70124,                 1.0657,                  1.547,                0.76279,                 1.0279,                0.90653,                0.88239,                0.94899,                0.57988,                 1.2674,                   0.63,                0.99768,                  1.383,                0.56942,                 0.9684,             0.00075943,             0.00075943,             0.00075943
                     75,                 1.2811,                0.68611,                 1.0535,                 1.5036,                0.73266,                 1.0204,                0.87169,                0.90099,                0.94402,                0.58464,                 1.2566,                0.64023,                0.99571,                 1.3704,                0.58323,                0.97137,             0.00074449,             0.00074449,             0.00074449
                     76,                 1.2999,                0.69213,                 1.0524,                 1.5409,                0.76058,                 1.0144,                0.88516,                0.90064,                0.94894,                0.55917,                 1.3448,                0.65277,                  1.021,                 1.4307,                0.56923,                0.98393,             0.00072953,             0.00072953,             0.00072953
